Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,Title Characters,SEO Description,CONTENT (product.metafields.custom.content),GSM (product.metafields.custom.gsm),Description Characters,KNIT STYLE (product.metafields.custom.knit_style),OUNCE (product.metafields.custom.ounce),SHADE (product.metafields.custom.shade),Sustainable Blends (product.metafields.custom.sustainable_blends),FABRIC (product.metafields.custom.type),USAGE (product.metafields.custom.usage),WIDTH (product.metafields.custom.width),Folder (product.metafields.custom.folder),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Suitable for material type (product.metafields.shopify.suitable-for-material-type),Suitable space (product.metafields.shopify.suitable-space),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
cotton-jacquard-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1Vl2bUtVFXEaWA3txl6lHTIooFDUk_XzW,2,Cotton Jacquard,,,,,,,,,,,,,,,,,,,,,,,,
cotton-jacquard-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=12n5ktL03zbsJ6754pewJVHVL8O2F0uYx,3,Cotton Jacquard,,,,,,,,,,,,,,,,,,,,,,,,
cotton-waffle-19,Cotton Waffle,"<p><span>A medium-weight (310 GSM) 100% cotton waffle fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,TRUE,Title,Default Title,,,,,,,,SCH6020,1000,shopify,16.5,continue,manual,1099,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1LQ7t2iRNO-b5AiOwj5jZYxKQrxqtUVj6,1,Cotton Waffle,FALSE,Premium Cotton Waffle Fabric | Texongo Fabric,45,"Shop 310 GSM 100% cotton waffle fabric in sky blue by Texongo. Soft, breathable and drapey for tops, dresses, co-ords and premium apparel online.",100%-COTTON,310,145,WAFFLE,9.14,SKY-BLUE,,COTTON-WAFFLE,"Tops,-Co-ords-,-T-shirt-,-Dresses",66-inches-/-194-cm,42,,,,,,kg,,,active
cotton-waffle-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=13CHd2dwH-bzX_ne5pvjZlHmDLuZFL1jX,2,Cotton Waffle,,,,,,,,,,,,,,,,,,,,,,,,
cotton-waffle-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1__5IkymDy22RHEPJrs3VH8jF3f1nToDa,3,Cotton Waffle,,,,,,,,,,,,,,,,,,,,,,,,
cotton-pointelle-1x1-rib-2,Cotton Pointelle 1x1 Rib,"<p><span>A medium-weight (222 GSM) 100% cotton rib fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,FALSE,Title,Default Title,,,,,,,,SCH6021,1000,shopify,4.5,continue,manual,1299,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1-V4GUeDfMcEYYaYPF_l1LnDuuyzH-gxA,1,Cotton Pointelle 1x1 Rib,FALSE,Cotton Pointelle 1x1 Rib Fabric | Texongo,41,"Shop 222 GSM 100% cotton rib fabric in light pink by Texongo. Soft, breathable and drapey for tops, dresses, co-ords and premium apparel online.",100%-COTTON,222,144,RIB,6.55,LIGHT-PINK,,COTTON-POINTEL-1X1-RIB,"Tops,-Co-ords-,-T-shirt-,-Dresses,-Skirts,-Joggers,-Cargo",60-inches-/-176-cm,42,,,,,,kg,,,draft
cotton-pointelle-1x1-rib-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=19hYejqws4frJpHA5VDcjXjRaHEF4TkXA,2,Cotton Pointelle 1x1 Rib,,,,,,,,,,,,,,,,,,,,,,,,
cotton-pointelle-1x1-rib-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1f4-sdofKnUY-fdLpZmUkLmXSFL4kJdR9,3,Cotton Pointelle 1x1 Rib,,,,,,,,,,,,,,,,,,,,,,,,
cotton-polyester-lurex-jacquard,Cotton Polyester Lurex Jacquard,"<p><span>A medium-weight (227 GSM) 50% cotton 40% polyester 10% spandex jacquard fabric by Texongo, featuring an engineered jacquard texture. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,TRUE,Title,Default Title,,,,,,,,SCH6022,1000,shopify,22,continue,manual,1299,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1FkHdnEYpHvaYePIOQ78-cKxKNNuWO8aC,1,Cotton Polyester Lurex Jacquard,FALSE,Cotton Poly Lurex Jacquard Fabric | Texongo,43,"Shop 227 GSM cotton polyester spandex blend jacquard fabric in grey by Texongo. Soft and drapey for tops, dresses, co-ords and premium apparel.",50%-COTTON-40%-POLY-10%-LYCRA,227,143,JACQUARD,6.69,GREY,,COTTON-POLY-LUREX-JACQUARD,"Skirts-,-Dresses,-Co--ords-,-Jumpsuit-,-Tops",60-inches-/-176-cm,42,,,,,,kg,,,active
cotton-polyester-lurex-jacquard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1JenIGpmI3Zhm7ausp9T2Si1yZM_YORGj,2,Cotton Polyester Lurex Jacquard,,,,,,,,,,,,,,,,,,,,,,,,
cotton-polyester-lurex-jacquard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1_CGIep4SUmb24DniOTTsfke8skuQCOxy,3,Cotton Polyester Lurex Jacquard,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-ottoman,Polyester Cotton Ottoman,"<p><span>A medium-weight (247 GSM) 70% cotton 30% polyester ottoman fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,TRUE,Title,Default Title,,,,,,,,SCH6023,1000,shopify,40.75,continue,manual,999,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1ZesfHXwGaK6TtliuI4IueEMk2NoQhTxt,1,Polyester Cotton Ottoman,FALSE,Camel Polyester Cotton Ottoman Fabric | Texongo,47,"Shop 247 GSM cotton polyester blend ottoman fabric in camel by Texongo. Soft, breathable and drapey for tops, dresses, co-ords and premium apparel.",70%-COTTON-30%-POLY,247,147,OTTOMAN,7.28,CAMEL,,POLY-COTTON-OTTOMAN,"Tops,-Co-ords-,-T-shirt-,-Dresses,",70-inches-/-206-cm,42,,,,,,kg,,,active
polyester-cotton-ottoman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1iZdRJvQm7hau11n39QEEW_u8fQUSdvXj,2,Polyester Cotton Ottoman,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-ottoman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1iCKHeGlU1wkR1EbzEUeNzlxQCg-tzUwy,3,Polyester Cotton Ottoman,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-ottoman-2,Polyester Cotton Ottoman,"<p><span>A medium-weight (410 GSM) 06% cotton 40% polyester ottoman fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,TRUE,Title,Default Title,,,,,,,,SCH6024,1000,shopify,11.5,continue,manual,999,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1XV5UvvmpOIUmsz5YfnUSdQZCYG4NSxBZ,1,Polyester Cotton Ottoman,FALSE,Beige Polyester Cotton Ottoman Fabric | Texongo,47,"Shop 410 GSM cotton polyester blend ottoman fabric in beige by Texongo. Soft, breathable and drapey for tops, dresses, co-ords and premium apparel.",60%-COTTON-40%-POLY,410,147,OTTOMAN,12.09,BEIGE,,POLY-COTTON-OTTOMAN,"Tops,-Co-ords-,-T-shirt-,-Dresses,-Joggers",65-inches-/-191-cm,42,,,,,,kg,,,active
polyester-cotton-ottoman-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1GqwHKLGPzeXO4hBYi-ge37pxY8jOEjW0,2,Polyester Cotton Ottoman,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-ottoman-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1p2n5ck1xMc26edPxfAo7v2JhCmrAcwQ-,3,Polyester Cotton Ottoman,,,,,,,,,,,,,,,,,,,,,,,,
cotton-polyester-embroidery,Cotton Polyester Embroidery,"<p><span>A medium-weight (210 GSM) 80% cotton 20% polyester schifli fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,TRUE,Title,Default Title,,,,,,,,SCH6027,1000,shopify,46,continue,manual,1499,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=13foeKTj9sUMHRw7MFKG5gOAjPZMV2OkM,1,Cotton Polyester Embroidery,FALSE,White Cotton Poly Embroidery Fabric | Texongo,45,"Shop 210 GSM cotton polyester blend single jersey fabric in white by Texongo. Soft and drapey for tops, dresses, co-ords and premium apparel.",80%-COTTON-20%-POLY,210,141,SCHIFLI,6.19,WHITE,,COTTON-POLY-SCHIFLI,"Tops,-Co-ords-,-T-shirt-,-Dresses",45-inches-/-132-cm,42,,,,,,kg,,,active
cotton-polyester-embroidery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1qPP3up0g9Qst1C5zTD0M9_MGyKoTRKFW,2,Cotton Polyester Embroidery,,,,,,,,,,,,,,,,,,,,,,,,
cotton-polyester-embroidery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1sMjqjE1K93hx7I6acuX_ZwvdZ0EM74Dm,3,Cotton Polyester Embroidery,,,,,,,,,,,,,,,,,,,,,,,,
cotton-poly-single-jersey,Cotton Poly Single Jersey,"<p><span>A medium-weight (150 GSM) 52% cotton 48% polyester single jersey fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,TRUE,Title,Default Title,,,,,,,,SCH6028,1000,shopify,65,continue,manual,849,,TRUE,TRUE,,,,,,,,,FALSE,,,,52%-COTTON-48%-POLY,150,,SINGLE JERSEY,4.42,BEIGE,,COTTON-POLY-S/J,"Tops,-Dresses,-Scarves,-Jupsuit-,-Co-ords-,-Scarves",66-inches-/-194-cm,42,,,,,,kg,,,active
cotton-single-jersey-print-2,Cotton Single Jersey Print,"<p><span>A medium-weight (200 GSM) 100% cotton single jersey fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,TRUE,Title,Default Title,,,,,,,,SCH6029,1000,shopify,8,continue,manual,999,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=14q2SNeVS6_s3LkZ8Zn160jnuqDiJ-ueC,1,Cotton Single Jersey Print,FALSE,Cotton Single Jersey Print Fabric | Texongo,43,"Shop 200 GSM 100% cotton single jersey fabric in print by Texongo. Soft, breathable and drapey for tops, dresses, co-ords and premium apparel.",100%-COTTON,200,142,SINGLE JERSEY,5.9,PRINT,,COTTON-S/J-PRINT,"Co-ords,-T--shirt,-Sweat-Shirt,-Joggers,-Tops,-Dresses",58-inches-/-171-cm,42,,,,,,kg,,,active
cotton-single-jersey-print-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1zvyMNQnrfHsCknHzAI5O2HvL45AFnW-6,2,Cotton Single Jersey Print,,,,,,,,,,,,,,,,,,,,,,,,
cotton-single-jersey-print-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=10Z6H72MtiPlxTX7TjpFh8c54DaGQ3Xi_,3,Cotton Single Jersey Print,,,,,,,,,,,,,,,,,,,,,,,,
viscose-spandex-single-jersey-4,Viscose Spandex Single Jersey,"<p><span>A medium-weight (180 GSM) 95% viscose 5% spandex single jersey fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,TRUE,Title,Default Title,,,,,,,,SCH6031,1000,shopify,14.5,continue,manual,999,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1PLc5q8_Krr7S0m_KflJI-hBb7fn2oDAq,1,Viscose Spandex Single Jersey,FALSE,Maroon Viscose Spandex Jersey Fabric | Texongo,46,"Shop 180 GSM viscose spandex blend single jersey fabric in maroon by Texongo. Soft and drapey for tops, dresses, co-ords and premium apparel.",95%-VISCOSE-5%-LYCRA,180,141,SINGLE JERSEY,5.31,MEHROON,,VISCOSE-LYCRA-S/J,"Co-ords,-T--shirt,-Sweat-Shirt,-Joggers,-Tops,-Dresses",66-inches-/-194-cm,42,,,,,,kg,,,active
viscose-spandex-single-jersey-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1HYWF20rqJD0LWL0IIEE0HcL7fbMSZW5K,2,Viscose Spandex Single Jersey,,,,,,,,,,,,,,,,,,,,,,,,
viscose-spandex-single-jersey-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1H2ZDF_pwLVNzgOFRQqx5oDCdRRC1t7wX,3,Viscose Spandex Single Jersey,,,,,,,,,,,,,,,,,,,,,,,,
viscose-spandex-single-jersey-3,Viscose Spandex Single Jersey,"<p><span>A medium-weight (175 GSM) 95% viscose 5% spandex single jersey fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,TRUE,Title,Default Title,,,,,,,,SCH6032,1000,shopify,16,continue,manual,999,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1ciPyPQZgbMcLAUvwIMjTEtg_2REXlAlW,1,Viscose Spandex Single Jersey,FALSE,Viscose Spandex Single Jersey Fabric | Texongo,46,"Shop 175 GSM viscose spandex blend single jersey fabric in olive green by Texongo. Soft and drapey for tops, dresses, co-ords and premium apparel.",95%-VISCOSE-5%-LYCRA,175,146,SINGLE JERSEY,5.16,OLIVE-GREEN,,VISCOSE-LYCRA-S/J,"Co-ords,-T--shirt,-Sweat-Shirt,-Joggers,-Tops,-Dresses",66-inches-/-194-cm,42,,,,,,kg,,,active
viscose-spandex-single-jersey-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1Hm1jK8E-oFxAIXlzK2t7Fp3pA1D_sjKR,2,Viscose Spandex Single Jersey,,,,,,,,,,,,,,,,,,,,,,,,
viscose-spandex-single-jersey-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=19W7y0B0S-pYmk_FmFBK7FoBndnR0ZsG3,3,Viscose Spandex Single Jersey,,,,,,,,,,,,,,,,,,,,,,,,
viscose-spandex-single-jersey-5,Viscose Spandex Single Jersey,"<p><span>A medium-weight (180 GSM) 95% viscose 5% spandex single jersey fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,TRUE,Title,Default Title,,,,,,,,SCH6033,1000,shopify,23,continue,manual,999,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1YpRv1bTstojOrRUnqQ7iDoumfe1Sf9j1,1,Viscose Spandex Single Jersey,FALSE,Royal Blue Viscose Spandex Jersey Fabric | Texongo,50,"Shop 180 GSM viscose spandex blend single jersey fabric in royal blue by Texongo. Soft and drapey for tops, dresses, co-ords and premium apparel.",95%-VISCOSE-5%-LYCRA,180,145,SINGLE JERSEY,5.31,ROYAL-BLUE,,VISCOSE-LYCRA-S/J,"Co-ords,-T--shirt,-Sweat-Shirt,-Joggers,-Tops,-Dresses",66-inches-/-194-cm,42,,,,,,kg,,,active
viscose-spandex-single-jersey-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1hrYLHv2sgw7Is5gMQxj4uYT0hhtpngJ3,2,Viscose Spandex Single Jersey,,,,,,,,,,,,,,,,,,,,,,,,
viscose-spandex-single-jersey-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1B3RMlR9BOS_69mFzbX0iXVtFMrOiTVDz,3,Viscose Spandex Single Jersey,,,,,,,,,,,,,,,,,,,,,,,,
viscose-spandex-single-jersey-7,Viscose Spandex Single Jersey,"<p><span>A medium-weight (200 GSM) 95% viscose 5% spandex single jersey fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,TRUE,Title,Default Title,,,,,,,,SCH6034,1000,shopify,23,continue,manual,999,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1R7uK4mONEucpjOmXp8hHbN7pFEkR9H2_,1,Viscose Spandex Single Jersey,FALSE,Sky Blue Viscose Spandex Jersey Fabric | Texongo,48,"Shop 200 GSM viscose spandex blend single jersey fabric in sky blue by Texongo. Soft and drapey for tops, dresses, co-ords and premium apparel.",95%-VISCOSE-5%-LYCRA,200,143,SINGLE JERSEY,5.9,SKY-BLUE,,VISCOSE-LYCRA-S/J,"Co-ords,-T--shirt,-Sweat-Shirt,-Joggers,-Tops,-Dresses",66-inches-/-194-cm,42,,,,,,kg,,,active
viscose-spandex-single-jersey-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1VfcdMdWu9TQyxcK4jpp6dg_L-hoY4Tvm,2,Viscose Spandex Single Jersey,,,,,,,,,,,,,,,,,,,,,,,,
viscose-spandex-single-jersey-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1EdE_4IOjzNnvQtCETnfKxhebWDUO8IGv,3,Viscose Spandex Single Jersey,,,,,,,,,,,,,,,,,,,,,,,,
viscose-spandex-single-jersey-6,Viscose Spandex Single Jersey,"<p><span>A medium-weight (180 GSM) 95% viscose 5% spandex single jersey fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,TRUE,Title,Default Title,,,,,,,,SCH6035,1000,shopify,11,continue,manual,999,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1WoT9rsD57VaiAZ-4Rckt_6KdQMiTobug,1,Viscose Spandex Single Jersey,FALSE,Brown Viscose Spandex Jersey Fabric | Texongo,45,"Shop 180 GSM viscose spandex blend single jersey fabric in brown by Texongo. Soft and drapey for tops, dresses, co-ords and premium apparel.",95%-VISCOSE-5%-LYCRA,180,140,SINGLE JERSEY,5.31,BROWN,,VISCOSE-LYCRA-S/J,"Co-ords,-T--shirt,-Sweat-Shirt,-Joggers,-Tops,-Dresses",64-inches-/-188-cm,42,,,,,,kg,,,active
viscose-spandex-single-jersey-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1ukHpAKvEiD2SmStqdhEIYZgMZL184kFj,2,Viscose Spandex Single Jersey,,,,,,,,,,,,,,,,,,,,,,,,
viscose-spandex-single-jersey-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=12W-FuIJQcCE-BOazW02UuRumdvWb-LS1,3,Viscose Spandex Single Jersey,,,,,,,,,,,,,,,,,,,,,,,,
cotton-lycra-single-jersey-sch6036,Cotton Lycra Single Jersey,"<p><span>A medium-weight (150 GSM) 95% cotton 5% spandex single jersey fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,TRUE,Title,Default Title,,,,,,,,SCH6036,1000,shopify,32,continue,manual,999,,TRUE,TRUE,,,,,,,,,FALSE,,,,95%-COTTON-5%-LYCRA,150,,SINGLE JERSEY,4.42,BLACK,,COTTON-LYCRA-SINGLE-JERSEY,"Tops,-Dresses,-Scarves,-Jupsuit-,-Co-ords-,-Scarves",65-inches-/-191-cm,42,,,,,,kg,,,active
cotton-spandex-1x1-rib-3,Cotton Spandex 1x1 Rib,"<p><span>A medium-weight (370 GSM) 95% cotton 5% lycra rib fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,FALSE,Title,Default Title,,,,,,,,SCH6037,1000,shopify,0,continue,manual,999,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1DISpTHgfXtQEt5oP1FMHgX7yKEQt-3Yc,1,Cotton Spandex 1x1 Rib,FALSE,Navy Cotton Spandex 1x1 Rib Fabric | Texongo,44,"Shop 370 GSM cotton spandex lycra blend rib fabric in navy by Texongo. Soft, breathable and drapey for tops, dresses, co-ords and premium apparel.",95%-COTTON-5%-LYCRA,370,146,RIB,10.91,NAVY,,COTTON-LYCRA-1X1-RIB,"Tops,-Co-ords-,-T-shirt-,-Dresses,-Skirts,-Joggers,-Cargo",64-inches-/-188-cm,42,,,,,,kg,,,draft
cotton-spandex-1x1-rib-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1TPqoLlH_NT3iN3szvoFkXjEx10uMiYxw,2,Cotton Spandex 1x1 Rib,,,,,,,,,,,,,,,,,,,,,,,,
cotton-spandex-1x1-rib-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1Ok2sGprnxmDUYqK5GM4jjC6DfneHHQZB,3,Cotton Spandex 1x1 Rib,,,,,,,,,,,,,,,,,,,,,,,,
cotton-modal-single-jersey-2,Cotton Modal Single Jersey,"<p><span>A medium-weight (225 GSM) 60% cotton 40% modal single jersey fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,FALSE,Title,Default Title,,,,,,,,SCH6038,1000,shopify,0,continue,manual,1199,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1SUaeRglqT72n3XHWtFQpmP2EzvamPWCv,1,Cotton Modal Single Jersey,FALSE,Sky Blue Cotton Modal Jersey Fabric | Texongo,45,"Shop 225 GSM cotton modal blend single jersey fabric in sky blue by Texongo. Soft and drapey for tops, dresses, co-ords and premium apparel.",60%-COTTON-40%-MODAL,225,140,SINGLE JERSEY,6.64,SKY-BLUE,,COTTON-MODAL-SINGLE-JERSEY,"Tops,-Co-ords-,-T-shirt-,-Dresses,-Skirts,-Joggers,-Cargo",68-inches-/-200-cm,42,,,,,,kg,,,draft
cotton-modal-single-jersey-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=111YcFxgumRY1FnGzg97fYI9Q_ohtRZF3,2,Cotton Modal Single Jersey,,,,,,,,,,,,,,,,,,,,,,,,
cotton-modal-single-jersey-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1wERdfeT8URtRbVmeIdkeKhyUmVO-uqD-,3,Cotton Modal Single Jersey,,,,,,,,,,,,,,,,,,,,,,,,
cotton-modal-single-jersey-3,Cotton Modal Single Jersey,"<p><span>A medium-weight (230 GSM) 60% cotton 40% modal single jersey fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,FALSE,Title,Default Title,,,,,,,,SCH6039,1000,shopify,0,continue,manual,1099,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1LUYWEpxZ8l4owcchR_41SUbC0gwcmQNV,1,Cotton Modal Single Jersey,FALSE,Khaki Cotton Modal Jersey Fabric | Texongo,42,"Shop 230 GSM cotton modal blend single jersey fabric in khaki by Texongo. Soft, breathable and drapey for tops, dresses, co-ords and premium apparel.",60%-COTTON-40%-MODAL,230,149,SINGLE JERSEY,6.78,KHAKI,,COTTON-MODAL-SINGLE-JERSEY,"Tops,-Co-ords-,-T-shirt-,-Dresses,-Skirts,-Joggers,-Cargo",68-inches-/-200-cm,42,,,,,,kg,,,draft
cotton-modal-single-jersey-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1rBiZG8umLZoYG5Ocxl1jHKoz-xdvtX32,2,Cotton Modal Single Jersey,,,,,,,,,,,,,,,,,,,,,,,,
cotton-modal-single-jersey-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1X8Shp5M9m1D8CTKuuRZTneWsXVsR-R6U,3,Cotton Modal Single Jersey,,,,,,,,,,,,,,,,,,,,,,,,
cotton-french-terry-sch6040,Cotton French Terry,"<p><span>A medium-weight (240 GSM) 100% cotton french terry fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,TRUE,Title,Default Title,,,,,,,,SCH6040,1000,shopify,9,continue,manual,899,,TRUE,TRUE,,,,,,,,,FALSE,,,,100%-COTTON,240,,FRENCH TERRY,7.08,PINK,,COTTON-FRENCH-TERRY,"sweatshirt,-T-shirt-,-dresses,-Skirts,-Co-ords,-Hoodie,-Joggers",74-inches-/-218-cm,42,,,,,,kg,,,active
